Left_RPM Right_RPM angle(radians)_at_which_this_action_should_be_applied time_at_which_this_action_should_be_applied
5 0 0.0 1
0 5 5.689773361501515 1
5 5 6.283185307179586 1
5 0 0.0 1
0 5 5.689773361501515 1
10 5 6.283185307179586 1
0 5 5.689773361501515 1
10 10 6.283185307179586 1
5 10 0.0 1
5 5 0.5934119456780721 1
10 10 0.5934119456780721 1
0 5 0.5934119456780721 1
5 0 1.1868238913561442 1
0 5 0.5934119456780721 1
5 5 1.1868238913561442 1
5 5 1.1868238913561442 1
5 5 1.1868238913561442 1
5 5 1.1868238913561442 1
0 10 1.1868238913561442 1
10 0 2.3736477827122884 1
5 5 1.1868238913561442 1
0 5 1.1868238913561442 1
5 0 1.7802358370342162 1
0 10 1.1868238913561442 1
10 0 2.3736477827122884 1
0 5 1.1868238913561442 1
5 0 1.7802358370342162 1
